# t V alpha gamma Q delta_T delta_e
0.00000000 6.00000000 0.10000000 0.00000000 0.00000000 6.00000000 0.00000000
0.06250000 6.30085136 0.15315325 -0.05483129 -0.05935924 6.10914675 0.00407399
0.12500000 6.62174203 0.18321711 -0.09133259 -0.14944409 6.21692979 0.00804872
0.18750000 6.95578410 0.19420374 -0.11492576 -0.25412738 6.32201433 0.01182735
0.25000000 7.30083782 0.19055131 -0.13050048 -0.35907212 6.42312270 0.01531781
0.31250000 7.65741572 0.17664640 -0.14208203 -0.45275672 6.51906125 0.01843506
0.37500000 8.02706566 0.15648967 -0.15269496 -0.52710415 6.60874523 0.02110315
0.43750000 8.41136466 0.13347451 -0.16436398 -0.57762388 6.69122114 0.02325708
0.50000000 8.81143265 0.11026196 -0.17820614 -0.60312734 6.76568595 0.02484436
0.56250000 9.22778699 0.08874172 -0.19458066 -0.60512511 6.83150285 0.02582632
0.62500000 9.66036566 0.07006938 -0.21327058 -0.58702165 6.88821301 0.02617904
0.68750000 10.10860169 0.05476643 -0.23367357 -0.55322729 6.93554327 0.02589392
0.75000000 10.57149299 0.04286361 -0.25498114 -0.50831124 6.97340940 0.02497791
0.81250000 11.04765765 0.03406321 -0.27632852 -0.45631227 7.00191503 0.02345332
0.87500000 11.53538473 0.02789568 -0.29690286 -0.40029483 7.02134621 0.02135731
0.93750000 12.03268979 0.02384903 -0.31600551 -0.34218874 7.03216174 0.01874095
1.00000000 12.53737536 0.02145802 -0.33307232 -0.28289136 7.03497953 0.01566796
1.06250000 13.04708817 0.02034949 -0.34766300 -0.22255744 7.03055938 0.01221324
1.12500000 13.55936512 0.02024973 -0.35943366 -0.16097166 7.01978257 0.00846095
1.18750000 14.07166434 0.02096606 -0.36810665 -0.09789884 7.00362871 0.00450251
1.25000000 14.58138460 0.02235689 -0.37344786 -0.03333580 6.98315060 0.00043437
1.31250000 15.08588064 0.02430246 -0.37525655 0.03236643 6.95944745 -0.00364435
1.37500000 15.58248295 0.02668423 -0.37336743 0.09849820 6.93363738 -0.00763428
1.43750000 16.06852808 0.02937503 -0.36766122 0.16406511 6.90682974 -0.01143820
1.50000000 16.54140227 0.03223869 -0.35807861 0.22789386 6.88009789 -0.01496344
1.56250000 16.99859700 0.03513504 -0.34463310 0.28873455 6.85445323 -0.01812410
1.62500000 17.43777261 0.03792701 -0.32741991 0.34534179 6.83082097 -0.02084318
1.68750000 17.85682466 0.04048687 -0.30661980 0.39653309 6.81001834 -0.02305443
1.75000000 18.25394780 0.04270079 -0.28249808 0.44123157 6.79273571 -0.02470397
