t, V, alpha, gamma, Q, T_cmd, elv_cmd, T_act, elv_act, gust
0.000000000000000000e+00,6.500098412268598302e+00,5.149372768754235247e-02,-5.482757107244351199e-04,-8.905918387572741776e-03,1.967027785299526599e-01,1.288020490798503018e-02,1.967027785299526599e-01,1.288020490798503018e-02,0.000000000000000000e+00
1.000000000000000021e-02,6.492895050506390042e+00,5.610967628749954222e-02,-5.243745625356255671e-03,-6.956430474449509620e-03,2.101789536661378965e-01,2.934621399834805300e-02,2.101789536661378965e-01,2.934621399834805300e-02,0.000000000000000000e+00
2.000000000000000042e-02,6.486097003751959633e+00,6.025423137290518427e-02,-9.447157616069771016e-03,-4.781577559265578689e-03,2.229983049453505839e-01,4.360911192688941840e-02,2.229983049453505839e-01,4.360911192688941840e-02,0.000000000000000000e+00
2.999999999999999889e-02,6.479662789297418790e+00,6.398159384824438078e-02,-1.321070329304097069e-02,-2.429076315364606022e-03,2.352305466043410898e-01,5.593120176167976076e-02,2.352305466043410898e-01,5.593120176167976076e-02,0.000000000000000000e+00
4.000000000000000083e-02,6.473556482102031495e+00,6.733943740377358600e-02,-1.658049108346500849e-02,5.983723227681158469e-05,2.469359566063947797e-01,6.654306974623834525e-02,2.469359566063947797e-01,6.654306974623834525e-02,0.000000000000000000e+00
5.000000000000000278e-02,6.467746789952090403e+00,7.036971265410835175e-02,-1.959728984000227645e-02,2.649567753902176605e-03,2.581669570111844725e-01,7.564752203379530859e-02,2.581669570111844725e-01,7.564752203379530859e-02,0.000000000000000000e+00
5.999999999999999778e-02,6.462206303805699825e+00,7.310934975428019789e-02,-2.229717877152314481e-02,5.309433451111728389e-03,2.689693940335248223e-01,8.342301694733665618e-02,2.689693940335248223e-01,8.342301694733665618e-02,0.000000000000000000e+00
7.000000000000000666e-02,6.456910887502343321e+00,7.559087291252465646e-02,-2.471211605782155929e-02,8.013035369618249151e-03,2.793835792978390797e-01,9.002666107825132991e-02,2.793835792978390797e-01,9.002666107825132991e-02,0.000000000000000000e+00
8.000000000000000167e-02,6.451839178626901372e+00,7.784293847276083089e-02,-2.687043690400419543e-02,1.073770933403056342e-02,2.894451407118835418e-01,9.559682824709493654e-02,2.894451407118835418e-01,9.559682824709493654e-02,0.000000000000000000e+00
8.999999999999999667e-02,6.446972178594153391e+00,7.989080612071476628e-02,-2.879728983845172494e-02,1.346404929271762321e-02,2.991857206029153171e-01,1.002554494823078290e-01,2.991857206029153171e-01,1.002554494823078290e-01,0.000000000000000000e+00
1.000000000000000056e-01,6.442292914484000654e+00,8.175675178571520374e-02,-3.051501915656456773e-02,1.617549225585214467e-02,3.086335510856751396e-01,1.041100169395904745e-01,3.086335510856751396e-01,1.041100169395904745e-01,0.000000000000000000e+00
1.100000000000000006e-01,6.437786158818402882e+00,8.346042956835547644e-02,-3.204350026958445452e-02,1.885795655276820137e-02,3.178139303444244002e-01,1.072553383266277721e-01,3.178139303444244002e-01,1.072553383266277721e-01,0.000000000000000000e+00
1.199999999999999956e-01,6.433438196277438514e+00,8.501918912843306475e-02,-3.340043389384111938e-02,2.149952626597834149e-02,3.267496186908935285e-01,1.097750737913624347e-01,3.267496186908935285e-01,1.097750737913624347e-01,0.000000000000000000e+00
1.300000000000000044e-01,6.429236628542616572e+00,8.644835420664803705e-02,-3.460160431592200492e-02,2.409017563969540962e-02,3.354611694974444780e-01,1.117430833440419130e-01,3.354611694974444780e-01,1.117430833440419130e-01,0.000000000000000000e+00
1.400000000000000133e-01,6.425170210276610838e+00,8.776146712456452115e-02,-3.566110620559990313e-02,2.662152822341400799e-02,3.439672069801525955e-01,1.132246087183624711e-01,3.439672069801525955e-01,1.132246087183624711e-01,0.000000000000000000e+00
1.499999999999999944e-01,6.421228710998844846e+00,8.897050264534082931e-02,-3.659154309705871938e-02,2.908664704525357539e-02,3.522846598177241106e-01,1.142773064153705664e-01,3.522846598177241106e-01,1.142773064153705664e-01,0.000000000000000000e+00
1.600000000000000033e-01,6.417402797748739118e+00,9.008605620379304957e-02,-3.740420216687164595e-02,3.147985063687341878e-02,3.604289593327657526e-01,1.149521563726365325e-01,3.604289593327657526e-01,1.149521563726365325e-01,0.000000000000000000e+00
1.700000000000000122e-01,6.413683935017473026e+00,9.111750955720071543e-02,-3.810920812602577173e-02,3.379655169891336575e-02,3.684142082573729216e-01,1.152942612102740016e-01,3.684142082573729216e-01,1.152942612102740016e-01,0.000000000000000000e+00
1.799999999999999933e-01,6.410064298799529325e+00,9.207317670335522786e-02,-3.871565886184930722e-02,3.603311544693316854e-02,3.762533254612179801e-01,1.153435499879528203e-01,3.762533254612179801e-01,1.153435499879528203e-01,0.000000000000000000e+00
1.900000000000000022e-01,6.406536703804590616e+00,9.296042956257478951e-02,-3.923174235324441289e-02,3.818673796848883611e-02,3.839581683330062778e-01,1.151353842125664023e-01,3.839581683330062778e-01,1.151353842125664023e-01,0.000000000000000000e+00
2.000000000000000111e-01,6.403094539720744827e+00,9.378581074765043879e-02,-3.966484163607245095e-02,4.025533739638616215e-02,3.915396397611843882e-01,1.147011014026521614e-01,3.915396397611843882e-01,1.147011014026521614e-01,0.000000000000000000e+00
2.099999999999999922e-01,6.399731715254024955e+00,9.455513379361511761e-02,-4.002162817333503042e-02,4.223745744147520964e-02,3.990077818964360423e-01,1.140684981571334078e-01,3.990077818964360423e-01,1.140684981571334078e-01,0.000000000000000000e+00
2.200000000000000011e-01,6.396442611340720674e+00,9.527356665275354963e-02,-4.030813972870773976e-02,4.413218726395649882e-02,4.063718544221159856e-01,1.132622326178294309e-01,4.063718544221159856e-01,1.132622326178294309e-01,0.000000000000000000e+00
2.300000000000000100e-01,6.393222038455638412e+00,9.594570964618147346e-02,-4.052985310687183540e-02,4.593908681209202260e-02,4.136404058344163026e-01,1.123042001424449793e-01,4.136404058344163026e-01,1.123042001424449793e-01,0.000000000000000000e+00
2.399999999999999911e-01,6.390065199104888016e+00,9.657566317300395053e-02,-4.069174743023142027e-02,4.765812215036092925e-02,4.208213359517383179e-01,1.112138597294791142e-01,4.208213359517383179e-01,1.112138597294791142e-01,0.000000000000000000e+00
2.500000000000000000e-01,6.386967656697457585e+00,9.716708327912768062e-02,-4.079835614943886496e-02,4.928961254816635607e-02,4.279219477106390723e-01,1.100085019970669375e-01,4.279219477106390723e-01,1.100085019970669375e-01,0.000000000000000000e+00
2.600000000000000089e-01,6.383925304546990809e+00,9.772323806126480272e-02,-4.085381985712820824e-02,5.083417678222392627e-02,4.349489986300099642e-01,1.087035212275132834e-01,4.349489986300099642e-01,1.087035212275132834e-01,0.000000000000000000e+00
2.700000000000000178e-01,6.380934342186806774e+00,9.824704826612939979e-02,-4.086192444261915052e-02,5.229269475389358712e-02,4.419087400816301137e-01,1.073126113735844850e-01,4.419087400816301137e-01,1.073126113735844850e-01,0.000000000000000000e+00
2.800000000000000266e-01,6.377991250474332574e+00,9.874113177642046546e-02,-4.082614286248775759e-02,5.366626527802858398e-02,4.488069584717546689e-01,1.058479808453005322e-01,4.488069584717546689e-01,1.058479808453005322e-01,0.000000000000000000e+00
2.899999999999999800e-01,6.375092772305240629e+00,9.920783534577756746e-02,-4.074966509875602855e-02,5.495617628553964296e-02,4.556490071014634990e-01,1.043205059435808185e-01,4.556490071014634990e-01,1.043205059435808185e-01,0.000000000000000000e+00
2.999999999999999889e-01,6.372235892909793975e+00,9.964926835410788108e-02,-4.063542998023662173e-02,5.616387293129795899e-02,4.624398386468806521e-01,1.027398941096175494e-01,4.624398386468806521e-01,1.027398941096175494e-01,0.000000000000000000e+00
3.099999999999999978e-01,6.369417823775482823e+00,1.000673279478459105e-01,-4.048614904282203664e-02,5.729093416262107802e-02,4.691840316280944112e-01,1.011148057122789046e-01,4.691840316280944112e-01,1.011148057122789046e-01,0.000000000000000000e+00
3.200000000000000067e-01,6.366635986526302915e+00,1.004637251981533724e-01,-4.030433130951648762e-02,5.833904811247080796e-02,4.758858168948852385e-01,9.945298084421390350e-02,4.758858168948852385e-01,9.945298084421390350e-02,0.000000000000000000e+00
3.300000000000000155e-01,6.363887999926383543e+00,1.008400039143366317e-01,-4.009230128561979550e-02,5.930999477604423364e-02,4.825490989599540703e-01,9.776133070320025542e-02,4.825490989599540703e-01,9.776133070320025542e-02,0.000000000000000000e+00
3.400000000000000244e-01,6.361171665673095887e+00,1.011975624043191246e-01,-3.985221968075802756e-02,6.020562559155630267e-02,4.891774792668600602e-01,9.604604338102452898e-02,4.891774792668600602e-01,9.604604338102452898e-02,0.000000000000000000e+00
3.500000000000000333e-01,6.358484958678848109e+00,1.015376659639121021e-01,-3.958609551198824517e-02,6.102785223276804838e-02,4.957742721064147817e-01,9.431264474418403487e-02,4.957742721064147817e-01,9.431264474418403487e-02,0.000000000000000000e+00
3.599999999999999867e-01,6.355826013606010960e+00,1.018614662316012498e-01,-3.929580464137927276e-02,6.177862846563687838e-02,5.023425266080688845e-01,9.256609286937682313e-02,5.023425266080688845e-01,9.256609286937682313e-02,0.000000000000000000e+00
3.699999999999999956e-01,6.353193118031072117e+00,1.021700086550943742e-01,-3.898309716768724037e-02,6.245994377389923330e-02,5.088850379186599104e-01,9.081081461893777962e-02,5.088850379186599104e-01,9.081081461893777962e-02,0.000000000000000000e+00
3.800000000000000044e-01,6.350584699919505027e+00,1.024642489251821470e-01,-3.864961331091825575e-02,6.307380807960828728e-02,5.154043676163176935e-01,8.905078618272198321e-02,5.154043676163176935e-01,8.905078618272198321e-02,0.000000000000000000e+00
3.900000000000000133e-01,6.347999321806907069e+00,1.027450589669632458e-01,-3.829688939779134216e-02,6.362224665362654907e-02,5.219028532052287783e-01,8.728956258415769554e-02,5.219028532052287783e-01,8.728956258415769554e-02,0.000000000000000000e+00
4.000000000000000222e-01,6.345435671294407776e+00,1.030132375745913265e-01,-3.792636835255281530e-02,6.410729062273727574e-02,5.283826235963015039e-01,8.553033009585445101e-02,5.283826235963015039e-01,8.553033009585445101e-02,0.000000000000000000e+00
4.100000000000000311e-01,6.342892553138298695e+00,1.032695190707360183e-01,-3.753940824731764186e-02,6.453096910611488823e-02,5.348456119708130396e-01,8.377594909514431143e-02,5.348456119708130396e-01,8.377594909514431143e-02,0.000000000000000000e+00
4.199999999999999845e-01,6.340368884714127518e+00,1.035145768454295429e-01,-3.713728603686940188e-02,6.489530668964033078e-02,5.412935631883274423e-01,8.202897165034883642e-02,5.412935631883274423e-01,8.202897165034883642e-02,0.000000000000000000e+00
4.299999999999999933e-01,6.337863685981265149e+00,1.037490336343953878e-01,-3.672120778933241764e-02,6.520231406766699433e-02,5.477280500853735079e-01,8.029169269808546228e-02,5.477280500853735079e-01,8.029169269808546228e-02,0.000000000000000000e+00
4.400000000000000022e-01,6.335376075972408927e+00,1.039734639669172150e-01,-3.629231132799200926e-02,6.545398633776924879e-02,5.541504792010376601e-01,7.856616236400700004e-02,5.541504792010376601e-01,7.856616236400700004e-02,0.000000000000000000e+00
